function,description
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K10774,E4.3.1.23; tyrosine ammonia-lyase [EC:4.3.1.23]
K10775,PAL; phenylalanine ammonia-lyase [EC:4.3.1.24]
K10778,"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"
K10780,fabL; enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]
K10793,prdA; D-proline reductase (dithiol) PrdA [EC:1.21.4.1]
K10794,prdB; D-proline reductase (dithiol) PrdB [EC:1.21.4.1]
K10795,prdD; D-proline reductase (dithiol)-stabilizing protein PrdD
K10796,prdE; D-proline reductase (dithiol)-stabilizing protein PrdE
K10797,enr; 2-enoate reductase [EC:1.3.1.31]
K10798,PARP; poly [ADP-ribose] polymerase [EC:2.4.2.30]
K10799,TNKS; tankyrase [EC:2.4.2.30]
K10800,SMUG1; single-strand selective monofunctional uracil DNA glycosylase [EC:3.2.2.-]
K10804,tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]
K10805,tesB; acyl-CoA thioesterase II [EC:3.1.2.-]
K10806,yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]
K10810,tenI; thiazole tautomerase (transcriptional regulator TenI) [EC:5.3.99.10]
K10811,E2.5.1.2; thiamine pyridinylase [EC:2.5.1.2]
K10814,hcnA; hydrogen cyanide synthase HcnA [EC:1.4.99.5]
K10815,hcnB; hydrogen cyanide synthase HcnB [EC:1.4.99.5]
K10816,hcnC; hydrogen cyanide synthase HcnC [EC:1.4.99.5]
K10819,E2.7.13.3; histidine kinase [EC:2.7.13.3]
K10822,E3.6.3.22; nonpolar-amino-acid-transporting ATPase [EC:3.6.3.22]
K10823,oppF; oligopeptide transport system ATP-binding protein
K10824,nikE; nickel transport system ATP-binding protein [EC:3.6.3.24]
K10831,tauB; taurine transport system ATP-binding protein [EC:3.6.3.36]
K10843,"ERCC3, XPB; DNA excision repair protein ERCC-3 [EC:3.6.4.12]"
K10844,"ERCC2, XPD; DNA excision repair protein ERCC-2 [EC:3.6.4.12]"
K10848,"ERCC4, XPF; DNA excision repair protein ERCC-4 [EC:3.1.-.-]"
K10850,"narT; MFS transporter, NNP family, putative nitrate transporter"
K10851,nreA; nitrogen regulatory protein A
K10854,"acxB; acetone carboxylase, alpha subunit [EC:6.4.1.6]"
K10855,"acxA; acetone carboxylase, beta subunit [EC:6.4.1.6]"
K10856,"acxC; acetone carboxylase, gamma subunit [EC:6.4.1.6]"
K10857,exoX; exodeoxyribonuclease X [EC:3.1.11.-]
K10873,RAD52; DNA repair and recombination protein RAD52
K10896,FANCM; fanconi anemia group M protein
K10906,recE; exodeoxyribonuclease VIII [EC:3.1.11.-]
K10907,K10907; aminotransferase [EC:2.6.1.-]
K10908,"POLRMT, RPO41; DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]"
K10909,"luxQ; two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]"
K10910,luxP; autoinducer 2-binding periplasmic protein LuxP
K10911,"luxU; two-component system, phosphorelay protein LuxU"
K10912,"luxO; two-component system, repressor protein LuxO"
K10913,"hapR, luxR, litR; TetR/AcrR family transcriptional regulator, hemagglutinin/protease regulatory protein"
K10914,"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
K10915,cqsA; CAI-1 autoinducer synthase [EC:2.3.-.-]
K10916,"cqsS; two-component system, CAI-1 autoinducer sensor kinase/phosphatase CqsS [EC:2.7.13.3 3.1.3.-]"
K10917,"aphA; PadR family transcriptional regulator, regulatory protein AphA"
K10918,"aphB; LysR family transcriptional regulator, transcriptional activator AphB"
K10921,toxR; cholera toxin transcriptional activator
K10922,toxS; transmembrane regulatory protein ToxS
K10924,mshA; MSHA pilin protein MshA
K10925,mshB; MSHA pilin protein MshB
K10926,mshC; MSHA pilin protein MshC
K10927,mshD; MSHA pilin protein MshD
K10936,acfA; accessory colonization factor AcfA
K10938,acfC; accessory colonization factor AcfC
K10939,acfD; accessory colonization factor AcfD
K10940,ompT; outer membrane protein OmpT
K10941,"fleQ, flrA; sigma-54 dependent transcriptional regulator, flagellar regulatory protein"
K10942,"flrB, fleS; two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]"
K10943,"flrC, fleR; two-component system, response regulator FlrC"
K10944,pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]
K10945,pmoB-amoB; methane/ammonia monooxygenase subunit B
K10946,pmoC-amoC; methane/ammonia monooxygenase subunit C
K10947,"padR; PadR family transcriptional regulator, regulatory protein PadR"
K10948,hlyA; hemolysin
K10954,zot; zona occludens toxin
K10956,SEC61A; protein transport protein SEC61 subunit alpha
K10960,"chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]"
K10972,"allS; LysR family transcriptional regulator, transcriptional activator of the allD operon"
K10973,"allR; IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons"
K10974,codB; cytosine permease
K10975,allP; allantoin permease
K10977,aksA; methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-]
K10978,aksF; methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]
K10979,ku; DNA end-binding protein Ku
K10984,"PTS-Gam-EIIB, agaB; PTS system, galactosamine-specific IIB component [EC:2.7.1.-]"
K10985,"PTS-Gam-EIIC, agaC; PTS system, galactosamine-specific IIC component"
K10986,"PTS-Gam-EIID, agaD; PTS system, galactosamine-specific IID component"
K11003,"hlyD, cyaD; hemolysin D"
K11004,"hlyB, cyaB; ATP-binding cassette, subfamily B, bacterial HlyB/CyaB"
K11005,hlyA; hemolysin A
K11006,stxA; shiga toxin subunit A
K11008,cnf1; cytotoxic necrotizing factor 1
K11013,cdtA; cytolethal distending toxin subunit A
K11014,cdtB; cytolethal distending toxin subunit B
K11015,cdtC; cytolethal distending toxin subunit C
K11016,"shlA, hhdA, hpmA; hemolysin"
K11017,"shlB, hhdB, hpmB; hemolysin activation/secretion protein"
K11018,tlh; thermolabile hemolysin
K11019,tdh1_2; thermostable direct hemolysin 1/2
K11020,toxA; exotoxin A [EC:2.4.2.-]
K11021,tccC; insecticidal toxin complex protein TccC
K11022,"rtxA1, rtxA; structural toxin protein (hemagglutinin/hemolysin) RtxA"
K11023,"ptxA, artA; pertussis toxin subunit 1 [EC:2.4.2.-]"
K11024,ptxB; pertussis toxin subunit 2
K11031,slo; thiol-activated cytolysin
K11032,hlyII; hemolysin II
K11033,nheA; non-hemolytic enterotoxin A
K11034,nheBC; non-hemolytic enterotoxin B/C
K11035,hblAB; hemolysin BL binding component
K11036,hblC; hemolysin BL lytic component L2
K11037,hblD; hemolysin BL lytic component L1
K11041,eta; exfoliative toxin A/B
K11045,cfa; cAMP factor
K11050,"ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein"
K11051,"ABC-2.CYL.P, cylB; multidrug/hemolysin transport system permease protein"
K11059,entA; probable enterotoxin A
K11060,entB; probable enterotoxin B
K11061,entC; probable enterotoxin C
K11062,entD; probable enterotoxin D
K11065,"tpx; thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]"
K11066,"E3.5.1.28D, amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
K11068,hlyIII; hemolysin III
K11069,potD; spermidine/putrescine transport system substrate-binding protein
K11070,potC; spermidine/putrescine transport system permease protein
K11071,potB; spermidine/putrescine transport system permease protein
K11072,potA; spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]
K11073,potF; putrescine transport system substrate-binding protein
K11074,potI; putrescine transport system permease protein
K11075,potH; putrescine transport system permease protein
K11076,potG; putrescine transport system ATP-binding protein
K11077,attC; mannopine transport system substrate-binding protein
K11078,attB; mannopine transport system permease protein
K11079,attA2; mannopine transport system permease protein
K11080,attA1; mannopine transport system ATP-binding protein
K11081,phnS; 2-aminoethylphosphonate transport system substrate-binding protein
K11082,phnV; 2-aminoethylphosphonate transport system permease protein
K11083,phnU; 2-aminoethylphosphonate transport system permease protein
K11084,phnT; 2-aminoethylphosphonate transport system ATP-binding protein
K11085,"msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]"
K11089,"TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein"
K11102,"gltP, gltT; proton glutamate symport protein"
K11103,dctA; aerobic C4-dicarboxylate transport protein
K11104,melB; melibiose permease
K11105,"cvrA, nhaP2; cell volume regulation protein A"
K11106,ttdT; L-tartrate/succinate antiporter
K11107,yfaE; ferredoxin
K11130,"NOP10, NOLA3; H/ACA ribonucleoprotein complex subunit 3"
K11131,"DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]"
K11139,"hlyE, clyA, sheA; hemolysin E"
K11144,dnaI; primosomal protein DnaI
K11145,K11145; ribonuclease III family protein [EC:3.1.26.-]
K11147,DHRS4; dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-]
K11159,K11159; carotenoid cleavage dioxygenase
K11173,ADHFE1; hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24]
K11175,purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
K11176,purO; IMP cyclohydrolase [EC:3.5.4.10]
K11177,yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
K11178,yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]
K11179,"tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]"
K11180,dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]
K11181,dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]
K11183,"PTS-HPR.FRUB, fruB, fpr; phosphocarrier protein FPr"
K11184,"chr, crh; catabolite repression HPr-like protein"
K11189,PTS-HPR; phosphocarrier protein
K11192,"PTS-Mur-EIIC, murP; PTS system, N-acetylmuramic acid-specific IIC component"
K11194,"PTS-Fru1-EIIA, levD; PTS system, fructose-specific IIA component [EC:2.7.1.202]"
K11195,"PTS-Fru1-EIIB, levE; PTS system, fructose-specific IIB component [EC:2.7.1.202]"
K11196,"PTS-Fru1-EIIC, levF; PTS system, fructose-specific IIC component"
K11200,"PTS-Mng-EIIC, mngA, hrsA; PTS system, 2-O-A-mannosyl-D-glycerate-specific IIC component"
K11201,"PTS-Fru2-EIIA; PTS system, fructose-specific IIA-like component [EC:2.7.1.-]"
K11202,"PTS-Fru2-EIIB; PTS system, fructose-specific IIB-like component [EC:2.7.1.-]"
K11203,"PTS-Fru2-EIIC; PTS system, fructose-specific IIC-like component"
K11208,yncG; GST-like protein
K11209,"yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]"
K11210,fosB; metallothiol transferase [EC:2.5.1.-]
K11211,kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]
K11212,cofD; LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]
K11214,SHPK; sedoheptulokinase [EC:2.7.1.14]
K11216,lsrK; autoinducer-2 kinase [EC:2.7.1.189]
K11249,eamB; cysteine/O-acetylserine efflux protein
K11250,leuE; leucine efflux protein
K11258,ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]
K11260,fwdG; 4Fe-4S ferredoxin
K11261,"fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]"
K11263,"bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"
K11264,"scpB, mmcD; methylmalonyl-CoA decarboxylase [EC:4.1.1.41]"
K11275,H1_5; histone H1/5
K11294,"NCL, NSR1; nucleolin"
K11311,"antC; anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]"
K11312,K11312; cupin 2 domain-containing protein
K11320,EP400; E1A-binding protein p400 [EC:3.6.4.-]
K11325,K11325; L-cysteine/cystine lyase
K11329,"rpaB; two-component system, OmpR family, response regulator RpaB"
K11333,"bchX; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]"
K11334,"bchY; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]"
K11335,"bchZ; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]"
K11336,bchF; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]
K11337,bchC; bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]
K11354,"cph1; two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]"
K11355,"rcp1; two-component system, chemotaxis family, response regulator Rcp1"
K11357,"divJ; two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]"
K11358,yhdR; aspartate aminotransferase [EC:2.6.1.1]
K11381,bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]
K11382,"pgtP; MFS transporter, OPA family, phosphoglycerate transporter protein"
K11383,"kinB; two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]"
K11384,"algB; two-component system, NtrC family, response regulator AlgB"
K11385,embA; arabinosyltransferase A [EC:2.4.2.-]
K11386,embB; arabinosyltransferase B [EC:2.4.2.-]
K11387,embC; arabinosyltransferase C [EC:2.4.2.-]
K11391,rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]
K11392,rsmF; 16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178]
K11410,acdH; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]
K11418,HDAC11; histone deacetylase 11 [EC:3.5.1.98]
K11434,PRMT1; type I protein arginine methyltransferase [EC:2.1.1.319]
K11440,gbsB; choline dehydrogenase [EC:1.1.1.1]
K11441,kguK; dehydrogluconokinase [EC:2.7.1.13]
K11442,K11442; putative uridylyltransferase [EC:2.7.7.-]
K11443,"divK; two-component system, cell cycle response regulator DivK"
K11444,"wspR; two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]"
K11472,glcE; glycolate oxidase FAD binding subunit
K11473,glcF; glycolate oxidase iron-sulfur subunit
K11474,"glcC; GntR family transcriptional regulator, glc operon transcriptional activator"
K11475,"vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator"
K11476,"K11476, gntR; GntR family transcriptional regulator, gluconate operon transcriptional repressor"
K11477,glcG; glc operon protein GlcG
K11520,"manS; two-component system, OmpR family, manganese sensing sensor histidine kinase [EC:2.7.13.3]"
K11521,"K11521, manR; two-component system, OmpR family, manganese sensing response regulator"
K11522,"pixG; two-component system, chemotaxis family, response regulator PixG"
K11524,pixI; positive phototaxis protein PixI
K11525,pixJ; methyl-accepting chemotaxis protein PixJ
K11526,"pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL"
K11527,"K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]"
K11528,glmU; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]
K11529,"gck, gckA, GLYCTK; glycerate 2-kinase [EC:2.7.1.165]"
K11530,"lsrG; (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]"
K11531,lsrR; lsr operon transcriptional repressor
K11532,"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
K11533,"fas; fatty acid synthase, bacteria type [EC:2.3.1.-]"
K11534,"deoR; DeoR family transcriptional regulator, deoxyribose operon repressor"
K11535,nupC; nucleoside transport protein
K11537,"xapB; MFS transporter, NHS family, xanthosine permease"
K11540,CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]
K11600,"RRP41, EXOSC4, SKI6; exosome complex component RRP41"
K11601,mntC; manganese transport system substrate-binding protein
K11602,mntB; manganese transport system permease protein
K11603,mntA; manganese transport system ATP-binding protein
K11604,sitA; manganese/iron transport system substrate-binding protein
K11605,sitC; manganese/iron transport system permease protein
K11606,sitD; manganese/iron transport system permease protein
K11607,sitB; manganese/iron transport system ATP-binding protein
K11608,mtfabH; beta-ketoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K11609,kas; beta-ketoacyl ACP synthase [EC:2.3.1.-]
K11610,mabA; beta-ketoacyl ACP reductase [EC:1.1.1.100]
K11611,inhA; enoyl ACP reductase [EC:1.3.1.9]
K11614,"yufL, malK; two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]"
K11615,"malR; two-component system, CitB family, response regulator MalR"
K11616,maeN; malate:Na+ symporter
K11617,"liaS; two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]"
K11618,"liaR; two-component system, NarL family, response regulator LiaR"
K11619,liaI; lia operon protein LiaI
K11620,liaH; lia operon protein LiaH
K11621,liaG; lia operon protein LiaG
K11622,liaF; lia operon protein LiaF
K11623,"ydfH; two-component system, NarL family, sensor histidine kinase YdfH [EC:2.7.13.3]"
K11624,"ydfI; two-component system, NarL family, response regulator YdfI"
K11625,ydfJ; membrane protein YdfJ
K11626,glnT; putative sodium/glutamine symporter
K11629,"bceS; two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS [EC:2.7.13.3]"
